TransactionID,Product,Quantity,Price,Transaction Date,Store Location,Notes,Irrelevant
1,Product C,13,289.96183365369944,2022-06-01,New York,,0.18452101935637732
2,Product B,7,35.01678128396826,2022-06-02,,,0.2093493233367103
3,Product C,4,29.7035803227024,2022-06-03,Los Angeles,Urgent,0.370472102791382
4,Product B,13,44.26091535807156,2022-06-04,Houston,Urgent,0.4845229851910213
5,Product B,1,13.986810710442807,2022-06-05,,Standard,0.618254771530296
6,Product B,8,65.82754010939803,2022-06-06,,,0.3689136395697724
7,Product B,14,40.61823669039214,2022-06-07,,Standard,0.4625347161331479
8,Product B,16,69.1806186402226,2022-06-08,,Standard,0.7474709381337565
9,Product A,14,44.989143610208416,2022-06-09,,Standard,0.0366832028905979
10,Product C,12,71.49760723637496,2022-06-10,Chicago,Gift,0.25243694434402075
11,Product B,19,40.98249272135484,2022-06-11,Houston,Gift,0.7133495858845524
12,Product D,15,33.829553331830965,2022-06-12,,Standard,0.8952068376871993
13,Product C,2,54.89039178471692,2022-06-13,Houston,,0.5116774421156661
14,Product C,2,72.50675819934165,2022-06-14,Chicago,Urgent,0.5321134852653157
15,Product B,19,41.67264273251663,2022-06-15,Chicago,,0.10717201133977605
16,Product A,17,94.32064310956724,2022-06-16,Houston,,0.44741236682345464
17,Product B,10,14.006784374203583,2022-06-17,New York,Gift,0.5326172664550232
18,Product A,6,47.90199037822714,2022-06-18,Los Angeles,Urgent,0.24247050363472966
19,Product D,15,97.08878355554694,2022-06-19,New York,Urgent,0.26924323094938096
20,Product C,11,59.53800383187133,2022-06-20,New York,,0.37728416310462265
21,Product D,5,48.396414627153526,2022-06-21,New York,,0.02007119777772637
22,Product A,1,61.376880192783766,2022-06-22,,Standard,0.3220791655831783
23,Product A,8,62.03949023984599,2022-06-23,Chicago,Gift,0.21144800699654465
24,Product D,12,75.9751576217648,2022-06-24,New York,Gift,0.32749735217791465
25,Product A,12,21.926953886016445,2022-06-25,Chicago,,0.11976213181925122
26,Product D,5,328.739720403492,2022-06-26,Houston,Standard,0.890527280739895
27,Product C,7,62.45288366465649,2022-06-27,Los Angeles,Standard,0.5935924535540487
28,Product D,4,88.09826517919802,2022-06-28,Houston,Standard,0.6791023191444896
29,Product C,6,60.7814502799463,2022-06-29,Houston,Standard,0.7891712386073383
30,Product D,13,31.852032982637542,2022-06-30,,Gift,0.4984421989290573
31,Product A,15,71.339309353273,2022-07-01,Los Angeles,Gift,0.08692028808742369
32,Product D,3,76.71443497243554,2022-07-02,Houston,Standard,0.5371065418185478
33,Product A,8,31.81975327863212,2022-07-03,Houston,,0.5868411180208791
34,Product D,16,44.302958023916624,2022-07-04,Los Angeles,Urgent,0.74543947418433
35,Product D,13,58.316965606250115,2022-07-05,Los Angeles,Urgent,0.4316595462296794
36,Product B,18,54.93726095422862,2022-07-06,Houston,,0.12758030279556376
37,Product A,10,45.366922535756515,2022-07-07,Los Angeles,Standard,0.28377590579872447
38,Product B,19,37.13537176683823,2022-07-08,Houston,Gift,0.3630822963986351
39,Product A,17,19.447647552115154,2022-07-09,Houston,Urgent,0.6459172413316012
40,Product B,19,15.286399205922043,2022-07-10,,,0.5707783046689119
41,Product C,5,96.27987855607742,2022-07-11,New York,,0.35609672589784624
42,Product D,9,86.31083996511433,2022-07-12,Houston,,0.9865152487929797
43,Product A,12,42.260465494508864,2022-07-13,Chicago,Standard,0.6057748193568872
44,Product A,1,96.12411120996657,2022-07-14,New York,Urgent,0.23722679173599448
45,Product D,1,71.0641387469309,2022-07-15,New York,Standard,0.10178247262040374
46,Product A,15,53.68079978352007,2022-07-16,New York,Urgent,0.15285913918433203
47,Product A,2,54.62086611399882,2022-07-17,,,0.24595772838450813
48,Product B,16,17.953121957863786,2022-07-18,Houston,,0.16068137325955567
49,Product A,8,18.706604138161474,2022-07-19,,,0.18656702405130576
50,Product C,13,64.41243845889113,2022-07-20,Houston,Standard,0.2850951686938471
51,Product C,1,600.508861544257,2022-07-21,,,0.17337359529475482
52,Product D,16,29.537019325718248,2022-07-22,,Standard,0.8967654246264252
53,Product A,7,95.17494964248246,2022-07-23,Chicago,,0.08023374566164221
54,Product D,5,80.41818355666791,2022-07-24,,Gift,0.5245113895702547
55,Product C,3,20.65394723454142,2022-07-25,Los Angeles,Gift,0.4103968269896615
56,Product A,12,93.80884566795581,2022-07-26,Chicago,Gift,0.9823786169086064
